OF_DEPARTURE_COUNTRY,OF_DEPLV2,OF_DEPLV1,OF_DEPLV0,OF_DEPARTURE_CITY,OF_DEPARTURE_ZIPCODE,OF_DEPARTURE_COORDINATE_X,OF_DEPARTURE_COORDINATE_Y,OF_ARRIVAL_COUNTRY,OF_ARRLV2,OF_ARRLV1,OF_ARRLV0,OF_ARRIVAL_CITY,OF_ARRIVAL_ZIPCODE,OF_ARRIVAL_COORDINATE_X,OF_ARRIVAL_COORDINATE_Y,OF_WEIGHT,OF_VOLUME,OF_LENGTH,OF_GOODS_KND,OF_TAIL_LIFT,OF_PALLETS_EXCHANGE,OF_NB_PALLETS
F,AU,63,,VOLVIC,63530,304251,4587167,F,RA,1,,AMB�RIEU-EN-BUGEY,1500,535379,4596092,29000,0,135,MG,N,N,0
PL,5,5,59,LUBAN,59-800,1523845,5113789,D,BW,89,,ULM,89081,994832,4839439,12000,0,136,MG,N,N,0
F,BF,21,,DIJON,21000,504419,4732639,I,2,VEN,37,SANGUINETTO,37058,1115233,4518127,500,0,4,MG,N,N,0
F,BF,39,,CLAIRVAUX-LES-LACS,39130,575017,4657615,F,AL,68,,COLMAR,68000,735304,4807926,29000,0,130,MG,N,N,0
F,PL,53,,BAZOUGERS,53170,-58145,4801839,F,CE,28,,VIABON,28150,170953,4823651,4800,0,40,MG,N,N,0
F,RA,69,,BOURG-DE-THIZY,69240,430175,4603393,F,CE,41,,MER,41500,150737,4770242,1000,0,20,MG,N,N,0
F,MP,81,,LAVAUR,81500,181131,4369886,F,RA,26,,SAINT-PAUL-TROIS-CH�TEAUX,26130,476953,4434825,13000,0,60,MG,N,N,0
I,4,EMI,41,MODENA,41100,1092525,4464338,F,RA,38,,GRENOBLE,38000,572204,4518913,24000,0,136,MG,N,N,0
A,3,SB,50,SALZBURG,5020,1303764,4780284,I,2,TAA,38,TRENTO,38100,1112468,4606485,24000,0,136,MG,N,N,0
D,NB,92,,AMBERG,92224,1185926,4944535,D,BR,13,,BERLIN,13599,1324059,5254861,8000,0,100,MG,N,N,0
F,OC,34,,S�TE,34200,369633,4339904,F,MP,9,,PAMIERS,9100,161239,4311355,28000,0,136,MG,N,N,0
D,ON,29,,Wittingen kein Tausch,29379,1072239,5269035,D,SN,9,,K?ndler,9247,1280529,5085988,1800,0,61,MG,N,N,0
F,RP,94,,VALENTON,94460,246266,4874894,F,RA,38,,SAINT-QUENTIN-FALLAVIER,38070,510846,4563586,1800,0,22,MG,N,N,0
PL,6,6,62,KALISZ,62-800,1810170,5177185,B,OV,98,,NAZARETH,9810,359676,5095965,100,0,4,MG,N,N,0
F,NP,62,,CALAIS,62100,185283,5095300,P,NO,47,,LEMENDE [TROFA],4785-024,-854663,4131267,300,0,10,MG,N,N,0
I,8,CAM,84,ANGRI,84012,1457258,4073804,F,RP,77,,GRETZ-ARMAINVILLIERS,77220,272927,4873866,24000,0,136,MG,N,N,0
F,BR,56,,CADEN,56220,-228797,4763176,F,BR,29,,QUIMPER,29000,-409830,4799096,1600,0,136,MG,Y,Y,0
D,ON,31,,S�HLDE,31185,1023229,5218927,D,SB,84,,METTENHEIM,84562,1246403,4826571,24000,0,136,MG,N,N,0
F,PL,44,,NANTES,44100,-155777,4721143,F,PR,6,,NICE,6200,727848,4370155,24000,0,134,MG,N,N,0
F,CH,10,,ROMILLY-SUR-SEINE,10100,372475,4851127,F,NO,61,,ALEN�ON,61000,8308,4843063,2000,0,40,MG,N,N,0
E,E10,SS,20,IR�N,20302,-179022,4333955,F,PL,72,,LE MANS,72000,19783,4800809,22000,0,136,MG,N,N,0
I,0,LIG,17,SAVONA,17100,847058,4430595,I,0,PIE,10,MATHI,10075,754155,4525637,30000,0,136,MG,N,N,0
F,MP,31,,LAB�GE,31670,153051,4352863,F,RA,69,,JONAGE,69330,504449,4579394,3500,0,112,MG,N,N,0
F,RP,77,,SAINT-MARD,77230,269688,4903747,F,CE,28,,GELLAINVILLE,28630,152943,4840850,5060,0,134,MG,N,N,0
D,HE,65,,LIMBURG AN DER LAHN,65549,806348,5038737,B,AN,28,,MECHELEN,2800,447896,5102564,10000,0,136,MG,N,N,0
F,AQ,33,,PESSAC,33600,-65222,4480005,F,NO,76,,LE HAVRE,76600,13187,4949363,1000,0,5,MG,N,N,0
A,1,OO,46,LAAKIRCHEN,4663,1382036,4797772,D,BW,77,,WOLFACH,77709,822213,4829835,3000,0,60,MG,N,N,0
I,1,LOM,20,MILANO,20121,918102,4546895,D,SB,86,,AUGSBURG,86150,1089800,4836998,24000,0,136,MG,N,N,0
F,CH,51,,BUSSY-LETTR�E,51320,425746,4880811,D,RL,46,,BIEMENHORST [BOCHOLT],46395,662639,5181786,5000,0,24,MG,N,N,0
F,AL,68,,MULHOUSE,68200,731749,4775191,F,NO,27,,BEUZEVILLE,27210,34394,4934313,4200,0,68,MG,N,N,0
F,AQ,33,,BLANQUEFORT,33290,-63483,4491492,F,NO,14,,LISIEUX,14100,22902,4914634,22500,0,112,MG,N,Y,29
F,PC,86,,CIVAUX,86320,66389,4644232,F,CE,37,,TOURS,37000,69066,4738520,1500,0,15,MG,N,N,0
A,1,OO,46,SCHWANENSTADT,4690,1377593,4805281,PL,5,5,59,BOLESLAWIEC,59-700,1556810,5121482,24000,0,136,MG,N,N,0
I,0,PIE,13,BIELLA,13900,805371,4555881,F,PL,49,,SEGR�,49500,-87138,4768696,150,0,14,MG,N,N,0
D,SB,82,,MITTENWALD,82481,1126383,4744177,D,SN,1,,ZEITHAIN,1619,1333816,5133239,8000,0,130,MG,N,N,0
I,0,PIE,28,NOVARA,28100,861989,4544808,NL,FR,86,,SNEEK,8601,565072,5303177,6000,0,113,MG,N,N,0
B,HT,60,,CHARLEROI,6000,444344,5041017,F,AU,87,,BELLAC,87300,104936,4612187,24000,0,136,MG,N,N,0
F,AL,57,,METZ,57000,617495,4911176,F,CE,36,,ARGENTON-SUR-CREUSE,36200,152042,4658770,2300,0,38,MG,N,N,0
I,1,LOM,20,MILANO,20121,918102,4546895,F,AL,67,,STRASBOURG,67200,773610,4858517,2400,0,32,MG,N,N,0
F,PL,44,,CARQUEFOU,44470,-149462,4728565,F,CE,45,,INGR�,45140,183089,4792176,2000,0,20,MG,N,N,0
F,BF,21,,PAGNY-LE-CH�TEAU,21250,519643,4704896,F,MP,12,,RODEZ,12000,257067,4435725,30000,10,0,BE,N,N,0
A,1,NO,23,WIENER NEUDORF,2351,1631906,4808290,D,BW,88,,WANGEN IM ALLG�U,88239,983159,4768883,6000,0,136,MG,N,N,0
E,E3,MU,30,MURCIA,30001,-113008,3798300,F,RP,75,,PARIS,75001,234125,4885688,24000,0,136,MG,N,N,0
B,LM,38,,SAINT-TROND,3800,518757,5081837,F,NO,14,,CAEN,14000,-36825,4918531,25700,0,136,MG,N,N,0
F,AQ,64,,OGEU-LES-BAINS,64680,-50481,4315231,F,CH,8,,ROCROI,8230,452550,4992585,5200,0,48,MG,N,N,0
F,MP,81,,LABRUGUI�RE,81290,226456,4353967,F,AQ,64,,BAYONNE,64100,-147637,4349275,15000,0,136,MG,N,N,0
I,1,LOM,21,CASTELLANZA,21053,890186,4561092,F,PL,49,,CHOLET,49300,-88069,4706260,15400,0,84,MG,N,N,0
D,WF,33,,BIELEFELD,33615,851258,5202974,F,MP,81,,ALBI,81000,214838,4392621,23000,0,136,TD,N,N,0
F,NO,76,,GOURNAY-EN-BRAY,76220,172147,4948150,F,CH,51,,�PERNAY,51200,395477,4904518,10000,0,60,MG,N,N,0
F,BR,35,,RENNES,35000,-168446,4810774,F,PR,4,,PEIPIN,4200,595865,4413854,2000,0,16,MG,N,N,0
NL,NB,47,,MOERDIJK,4782,460811,5168599,D,WF,44,,HERNE,44625,723509,5153441,24000,0,128,MG,N,N,0
GB,4,NP,,NEWPORT,NP10 8,-304152,5157249,NL,LB,62,,MAASTRICHT,62**,568914,5084918,24000,0,120,MG,N,N,0
F,BF,71,,MARCIGNY,71110,404149,4627594,F,NP,59,,RONCQ,59223,312076,5075317,1000,0,10,MG,N,N,0
F,PL,53,,BALL�E,53340,-41749,4793248,F,OC,34,,MONTPELLIER,34000,388552,4360996,2000,0,30,MG,N,N,0
I,4,EMI,40,IMOLA,40026,1171042,4435740,I,0,PIE,15,TORTONA,15057,886803,4489812,6000,0,136,MG,N,N,0
I,6,ABR,65,ALANNO,65020,1401310,4228261,B,OV,99,,EEKLO,9900,356362,5118696,1000,0,32,MG,N,N,0
GB,1,BS,,BRISTOL,BS1 6,-259144,5145368,B,NA,50,,NAMUR,5000,486166,5046576,24000,0,136,MG,N,N,0
F,AL,55,,STENAY,55700,518874,4949181,GB,2,PO,,PORTSMOUTH,PO1 4,-108726,5080402,7000,0,75,MG,N,N,0
B,HT,70,,MONS,7000,395235,5045480,F,BF,71,,CHALON-SUR-SA�NE,71100,485500,4677968,20600,0,100,MG,N,N,0
F,AU,43,,PAULHAGUET,43230,351488,4520660,F,AQ,24,,MARSAC-SUR-L'ISLE,24430,66372,4518551,1800,0,10,MG,N,N,0
B,NA,56,,MARIEMBOURG [COUVIN],5660,451810,5009611,NL,NH,12,,HILVERSUM,1222,518256,5223762,13600,0,136,MG,N,N,0
F,AQ,64,,AYHERRE,64240,-125526,4339206,F,MP,65,,BAGN�RES-DE-BIGORRE,65200,14969,4306506,15000,0,136,MG,N,N,0
F,PR,13,,AUBAGNE,13400,556872,4329216,F,AU,15,,AURILLAC,15000,243697,4492031,2000,0,60,MG,N,N,0
F,MP,31,,TOULOUSE,31100,144868,4360573,F,PC,86,,CH�TELLERAULT,86100,54520,4681947,18000,0,134,MG,N,N,0
F,AQ,33,,BORDEAUX,33200,-58107,4483661,D,SB,86,,AUGSBURG,86199,1086106,4835098,24000,0,136,MG,N,N,0
GB,3,EN,,HODDESDON,EN11 0,-65,5176821,D,HE,36,,FULDA,36041,964357,5057361,10192,0,136,MG,N,N,0
F,AQ,64,,PAU,64000,-35979,4331054,I,0,PIE,28,NOVARA,28100,861989,4544808,15000,0,136,MG,N,N,0
NL,NB,54,,VEGHEL,5461,554567,5162199,NL,DR,78,,EMMEN,7811,689642,5278202,24000,0,136,MG,N,N,0
P,NO,40,,PORTO,4000,-861035,4114938,F,PR,84,,AVIGNON,84000,480604,4394876,300,0,8,MG,N,N,0
F,BR,56,,BEIGNON,56380,-217101,4797133,F,PL,72,,SABL�-SUR-SARTHE,72300,-32873,4783888,4000,0,65,MG,N,N,0
F,PL,44,,NANTES,44100,-155777,4721143,F,PL,44,,SAINT-HERBLAIN,44800,-165392,4721169,28300,0,120,MG,N,N,0
F,CE,36,,ISSOUDUN,36100,199098,4694993,F,CE,28,,ORG�RES-EN-BEAUCE,28140,168549,4814562,30000,0,0,BE,N,N,0
F,NO,27,,AUBEVOYE,27940,133354,4917288,F,CH,8,,VILLERS-SEMEUSE,8000,474578,4974337,12000,1200,152,MG,N,N,0
D,SB,86,,FISCHACH,86850,1065621,4828860,B,AN,28,,WILLEBROEK,2830,435348,5105735,8000,0,40,MG,N,Y,10
F,CE,45,,AUTRUY-SUR-JUINE,45480,210102,4827562,B,WV,85,,WEVELGEM,8560,317634,5081233,1500,0,12,MG,N,N,0
E,E10,SS,20,IR�N,20303,-179812,4333410,D,RL,47,,KLEVE,47533,612915,5178459,24000,0,136,MG,N,N,0
F,PR,84,,ORANGE,84100,481309,4413558,F,RA,74,,ANNEMASSE,74100,624143,4619162,305,0,12,MG,N,N,0
NL,NH,11,,AMSTERDAM,1115,492291,5233446,NL,NB,52,,'S-HERTOGENBOSCH,5211,530188,5168799,22000,0,136,MG,N,N,0
F,PC,17,,LA ROCHELLE,17000,-115162,4615943,F,NO,76,,SANDOUVILLE,76430,32119,4949909,5100,0,25,MG,N,N,0
NL,NB,57,,HELMOND,5705,567426,5146767,F,RP,77,,LOGNES,77185,263381,4883665,24000,0,136,MG,N,N,0
B,BR,34,,LANDEN,3400,508082,5075159,F,NP,59,,LILLE,59000,306280,5063717,20000,0,150,MG,N,N,0
F,CE,45,,SAINT-P�RE-SUR-LOIRE,45600,237231,4777413,F,RP,92,,BOULOGNE-BILLANCOURT,92100,224103,4883514,6000,0,60,MG,N,N,0
I,1,LOM,20,ALBIATE,20042,925147,4565682,F,BR,29,,MORLAIX,29600,-382606,4858002,5000,0,80,MG,N,N,0
F,MP,31,,TOULOUSE,31000,145612,4360106,I,0,LIG,17,SAVONA,17100,847058,4430595,24000,0,136,MG,N,N,0
F,OC,34,,VILLEVEYRAC,34560,360736,4350065,B,AN,29,,BRECHT,2960,464094,5135160,2400,0,16,MG,N,N,0
D,WF,48,,D�LMEN,48249,728302,5183192,D,RL,52,,ESCHWEILER,52249,627358,5081326,3200,0,60,MG,N,N,0
B,OV,90,,GAND,9000,371955,5105139,D,ON,31,,AERZEN,31855,925804,5204674,2500,0,28,MG,N,N,0
B,AN,20,,ANTWERPEN,2000,439738,5122173,I,0,PIE,10,TORINO,10153,770539,4506951,8700,0,50,MG,N,N,0
D,WF,44,,DORTMUND,44137,745824,5151660,F,NP,62,,BOURLON,62860,311566,5017811,7400,0,53,MG,N,N,0
F,AQ,64,,PAU,64000,-35979,4331054,F,BR,56,,LORIENT,56100,-337756,4775068,20000,0,150,MG,N,N,0
F,RP,93,,AULNAY-SOUS-BOIS,93600,249125,4892750,I,5,MAR,62,MACERATA,62100,1345582,4329770,24000,0,136,MG,N,N,0
D,SB,87,,BLAICHACH,87544,1025988,4754155,D,NB,96,,COBURG,96450,1096347,5026081,1100,0,15,MG,N,N,0
F,NO,76,,GRAND-COURONNE,76530,100866,4935789,F,RP,77,,CUCHARMOY,77160,319273,4858237,28000,0,136,MG,N,N,0
F,CE,41,,MER,41500,150737,4770242,F,RP,92,,GENNEVILLIERS,92230,229445,4892502,6000,0,90,MG,N,N,0
F,PR,84,,SARRIANS,84260,497105,4408289,F,CH,52,,LANGRES,52200,533230,4786227,5000,900,150,MG,N,N,0
F,OC,34,,B�ZIERS,34500,322946,4334590,F,PR,83,,SIGNES,83870,586431,4329096,5000,1200,150,MG,N,N,0
E,E10,BI,48,DURANGO,48200,-263235,4316878,F,MP,65,,TARBES,65000,6798,4323401,24000,0,136,MG,N,N,0
F,OC,66,,LE BOULOU,66160,283118,4252299,F,NP,60,,CR�PY-EN-VALOIS,60800,288750,4922974,22000,0,134,MG,N,N,0
F,NP,60,,M�RU,60110,213312,4923437,F,RP,77,,COULOMMIERS,77120,308620,4881347,20000,0,130,MG,N,N,0
F,PC,17,,LA ROCHELLE,17000,-115162,4615943,F,NP,59,,CAUDRY,59540,341237,5012448,20000,0,134,MG,N,N,0
F,AL,54,,NANCY,54100,618339,4868956,F,NO,27,,LE NEUBOURG,27110,90100,4914844,2900,0,30,MG,N,N,0
F,PR,84,,SARRIANS,84260,497105,4408289,F,PL,49,,CHEMILL�,49120,-72493,4721425,5000,900,150,MG,N,N,0
D,BW,79,,FREIBURG IM BREISGAU,79098,784964,4799857,F,BF,89,,GRON,89100,326354,4816043,17200,0,86,MG,N,N,0
F,RA,1,,CULOZ,1350,578278,4585040,I,2,TAA,38,TRENTO,38100,1111881,4606998,3000,0,85,MG,N,N,0
F,PC,16,,COGNAC,16100,-32518,4569370,F,PC,86,,INGRANDES,86220,56588,4687692,15000,0,136,MG,N,N,0
F,NP,59,,MONS-EN-BAROEUL,59370,310774,5064219,F,AQ,33,,LANGON,33210,-25118,4455010,28300,0,136,MG,N,N,0
F,AQ,47,,VILLER�AL,47210,74231,4463908,F,AU,23,,LA SOUTERRAINE,23300,148687,4623688,2300,0,10,MG,N,N,0
F,PL,49,,ANGERS,49000,-56221,4745880,F,BR,22,,LE MOUSTOIR,22340,-350538,4826629,24400,0,130,MG,N,N,0
F,BR,56,,LORIENT,56100,-337756,4775068,D,ON,30,,HANNOVER,30159,973711,5237358,3000,0,24,MG,N,N,0
D,NB,97,,KARSBACH,97783,978638,5004165,D,PS,66,,PIRMASENS,66954,759401,4920047,6200,0,48,MG,N,N,0
F,BF,25,,SAINT-VIT,25410,581098,4718180,F,PL,44,,CARQUEFOU,44470,-149211,4729706,10000,0,88,MG,N,N,0
D,WF,48,,M�NSTER,48143,762706,5196083,F,RP,77,,MELUN,77000,265902,4854155,24000,0,136,MG,N,N,0
E,E6,BA,6,JEREZ DE LOS CABALLEROS,0638*,-676624,3832194,F,PR,13,,AIX-EN-PROVENCE,13090,544627,4352641,24000,0,131,MG,N,N,0
F,AL,68,,MULHOUSE,68200,731749,4775191,NL,DR,79,,HOOGEVEEN,7904,651030,5272385,24000,0,140,MG,N,N,0
F,NP,59,,MAUBEUGE,59600,396103,5027883,F,RP,93,,LE BOURGET,93350,242533,4893709,1000,0,20,MG,N,N,0
F,NP,59,,VALENCIENNES,59300,352133,5035694,F,AL,68,,COLMAR,68000,736365,4808192,23000,0,136,MG,N,N,0
F,AU,3,,VICHY,3200,342998,4612685,F,NP,59,,LILLE,59000,306280,5063717,18000,0,136,MG,N,N,0
I,4,EMI,41,MODENA,41100,1092525,4464338,E,E1,Z,50,ALFAJAR�N,50172,-70244,4161295,3500,0,22,MG,N,N,0
F,PL,44,,NANTES,44100,-155777,4721143,P,SU,29,,SET�BAL,2900,-889283,3852343,250000,0,136,MG,N,N,0
F,BF,70,,LA C�TE,70200,657305,4768688,F,AL,88,,SAINTE-MARGUERITE,88100,697276,4827093,2750,0,55,MG,N,N,0
D,BW,89,,ULM,89081,994832,4839439,D,PS,67,,WORMS,67550,833935,4964399,14025,0,140,MG,N,N,0
D,WF,45,,ESSEN,45141,701238,5146209,F,NP,2,,CH�TEAU-THIERRY,2400,339381,4904767,100,0,4,MG,N,N,0
F,MP,82,,CASTELSARRASIN,82100,110641,4404171,F,NO,27,,LES ANDELYS,27700,141611,4924558,4100,0,30,MG,N,N,0
F,PL,44,,NANTES,44000,-155267,4722097,E,E12,AB,2,ROBLEDO,2340,-244944,3875799,2400,0,24,MG,N,N,0
F,CH,51,,LA CHEPPE,51600,449920,4904960,B,AN,20,,ANTWERPEN,2000,440248,5121823,24000,0,136,MG,N,N,0
F,PR,13,,MARTIGUES,13117,503190,4338639,B,AN,21,,WOMMELGEM,2160,452476,5120119,4000,0,20,MG,N,N,0
F,RA,69,,THIZY,69240,431589,4602811,F,NP,59,,RONCQ,59223,312076,5075317,1000,0,10,MG,N,N,0
B,AN,28,,PUURS,2870,427748,5107630,NL,ZH,27,,WADDINXVEEN,2741,465508,5204461,24000,0,136,MG,N,N,0
F,RA,1,,LOYETTES,1360,520799,4577591,F,AU,19,,SAINT-VIANCE,19240,145274,4521766,2000,0,40,MG,N,N,0
F,AL,55,,ANCERVILLE,55170,501884,4863085,F,BF,39,,MOUCHARD,39330,579818,4697591,24000,780,130,MG,N,N,0
F,AL,57,,SARREGUEMINES,57200,707333,4911125,F,NO,27,,�VREUX,27000,115079,4902198,1000,0,50,MG,N,N,0
F,RA,69,,MEYZIEU,69330,500466,4577403,F,CE,45,,MALESHERBES,45330,240674,4829738,15000,0,100,MG,N,N,0
I,0,PIE,10,TORINO,10121,767316,4506844,NL,ZH,26,,ROTTERDAM,2661,451216,5196279,2000,0,24,TD,N,N,6
F,OC,66,,LE BOULOU,66160,283118,4252299,F,AU,23,,BONNAT,23220,190526,4632608,20000,0,134,MG,N,N,0
D,BR,16,,SCHWEDT/ODER,16303,1427353,5306029,F,RA,69,,LYON,69002,482978,4575418,24000,0,136,MG,N,N,0
F,BF,70,,LURE,70200,650079,4768437,F,AL,67,,ERSTEIN,67150,766183,4842245,28000,0,134,MG,N,N,0
F,CE,41,,LAMOTTE-BEUVRON,41600,202727,4759977,F,AU,23,,BOUSSAC,23600,221979,4634889,2500,0,30,MG,N,N,0
F,PR,84,,AVIGNON,84000,480604,4394876,F,CE,45,,SARAN,45770,187459,4795024,10000,0,134,MG,N,N,33
NL,GL,68,,ARNHEM,6814,590523,5198466,NL,NB,48,,BREDA,4811,477247,5159061,9000,0,70,MG,N,N,0
F,NP,62,,GRAINCOURT-L�S-HAVRINCOURT,62147,310925,5014497,F,NP,80,,FRIVILLE-ESCARBOTIN,80130,154630,5008426,1500,0,24,MG,N,N,0
PL,6,6,62,TLOKINIA KOSCIELNA [...,62-860,1816766,5175721,PL,6,6,62,OSTROW [OLSZOWKA],62-641,1882848,5214907,27000,0,136,MG,N,N,0
F,PC,17,,SAINT-SAUVEUR-D AUNIS,17540,-88657,4621728,F,PC,17,,LE CH�TEAU-D'OL�RON,17480,-120072,4588687,5000,0,100,MG,N,N,0
F,AQ,64,,PAU,64000,-36701,4330022,E,E3,A,3,ALICANTE,3012,-48189,3835776,24000,0,136,MG,N,N,0
NL,NH,10,,AMSTERDAM,1044,480763,5240449,B,BR,31,,HAACHT,3150,465149,5094122,24000,0,136,MG,N,N,0
F,RP,77,,MITRY-MORY,77290,261958,4898416,NL,NB,50,,TILBURG,5018,510639,5155472,1000,0,36,MG,N,N,0
F,RA,74,,ANNECY,74000,612604,4590746,F,CE,37,,SAINTE-MAURE-DE-TOURAINE,37800,62254,4710899,7000,0,40,MG,N,N,0
I,0,PIE,12,RACCONIGI,12035,767983,4477068,F,NP,59,,VALENCIENNES,59300,352133,5035694,24000,0,136,MG,N,N,0
F,NO,27,,�VREUX,27000,115079,4902198,B,WV,80,,BRUGGE,8000,322513,5121268,24000,0,136,MG,N,N,0
B,OV,90,,GENT,9000,372860,5105561,F,RP,91,,VILLAB�,91100,245371,4858883,24000,0,136,MG,N,N,0
E,E2,LE,25,SOLSONA,25280,151740,4199398,F,NP,2,,SAINT-QUENTIN,2100,328750,4984724,10000,0,136,MG,N,N,0
F,CE,41,,ROMORANTIN-LANTHENAY,41200,174452,4735830,F,RP,77,,MITRY-MORY,77290,260618,4896132,1065,0,36,MG,N,N,0
F,AL,68,,MULHOUSE,68200,731749,4775191,NL,DR,79,,HOOGEVEEN,7904,651030,5272385,24000,0,136,MG,N,N,0
F,RP,93,,VILLEPINTE,93420,253974,4895579,F,CE,37,,REIGNAC-SUR-INDRE,37310,91251,4722782,2000,0,52,MG,N,N,0
F,AQ,33,,BORDEAUX,33200,-58107,4483661,F,RP,95,,PERSAN,95340,227641,4915101,100,0,26,MG,N,N,0
B,AN,22,,WESTERLO,2260,491127,5108833,I,1,LOM,20,CARATE BRIANZA,20048,923565,4567400,15000,0,136,MG,N,N,0
NL,ZH,31,,VLAARDINGEN,3133,432003,5190137,B,HT,78,,ATH,7822,387115,5065766,26195,0,136,MG,N,N,0
F,AL,68,,KUNHEIM,68320,753424,4807793,F,CE,45,,COURTENAY,45320,305861,4804072,1800,0,40,MG,N,N,0
F,NO,27,,BEUZEVILLE,27210,34191,4934550,F,NO,27,,�VREUX,27000,115023,4902754,25200,0,132,MG,N,N,0
B,LX,66,,VIELSALM,6690,591833,5028468,F,NP,62,,H�NIN-BEAUMONT,62110,295232,5041615,25000,0,136,MG,N,N,0
I,4,EMI,43,COLLECCHIO,43044,1021624,4475212,F,PL,85,,MONTAIGU,85600,-131092,4697662,279,0,6,MG,N,N,0
E,E3,V,46,BENIFAI�,46450,-42601,3928515,F,MP,31,,AUSSON,31210,59377,4308218,6500,0,50,MG,N,N,0
F,BF,70,,PASSAVANT-LA-ROCH�RE,70210,603831,4796800,F,AL,57,,SAINT-AVOLD,57500,671254,4910743,27000,0,136,MG,N,N,0
F,PL,49,,BEAUFORT-EN-VALL�E,49250,-21882,4744034,F,RP,93,,AULNAY-SOUS-BOIS,93600,249597,4894008,17,0,10,MG,N,N,0
F,BR,56,,LA CHAPELLE-CARO,56460,-242236,4786564,F,NO,50,,TORIGNI-SUR-VIRE,50160,-97705,4903585,2000,0,110,MG,N,N,0
F,AL,67,,BARR,67140,745244,4840652,F,CH,51,,CH�LONS-EN-CHAMPAGNE,51000,435542,4895568,6000,0,60,MG,N,N,0
F,PR,13,,VITROLLES,13127,525302,4344996,B,WV,88,,ARDOOIE,8850,319827,5097822,24000,0,136,MG,N,Y,24
GB,2,BH,,BOURNEMOUTH,BH1 1,-187248,5072399,NL,GL,66,,OVERBETUWE,6666,575327,5195634,5000,0,50,MG,N,N,0
D,SB,82,,BAIERBRUNN,82065,1148417,4801966,D,HE,36,,EICHENZELL,36124,969901,5049608,3000,0,45,MG,N,N,0
I,1,LOM,20,MILANO,20121,918102,4546895,D,SB,86,,AUGSBURG,86150,1089800,4836998,24000,0,136,MG,N,N,0
GB,8,G,,GLASGOW,G14 9,-434428,5588004,E,E2,GE,17,GERONA,17004,282668,4198331,24000,0,136,MG,N,N,0
D,ON,38,,GOSLAR,38640,1043129,5190993,F,CH,52,,CHAUMONT,52000,514076,4810581,8000,0,60,MG,N,N,0
F,BF,70,,LUXEUIL-LES-BAINS,70300,637950,4781916,D,PS,67,,SPEYER,67346,843101,4931951,24000,0,136,MG,N,N,0
F,NP,80,,AMIENS,80000,228818,4989435,F,NO,14,,LISIEUX,14100,23473,4914561,20000,0,134,MG,N,N,0
D,MV,17,,M�LLENHAGEN,17219,1292947,5352580,D,MV,18,,NEUBUKOW,18233,1167232,5403211,24000,0,136,MG,N,N,0
F,PL,44,,LEG�,44650,-159808,4688514,F,AL,88,,CONTREX�VILLE,88140,589481,4818275,24000,0,130,MG,N,N,0
E,E10,SS,20,IR�N,20302,-179022,4333955,D,WF,57,,SIEGEN,57080,799817,5085849,1500,0,8,MG,N,N,0
F,PC,16,,ROUMAZI�RES-LOUBERT,16270,58084,4588621,F,NP,62,,BLENDECQUES,62575,227308,5071512,2000,0,45,MG,N,N,0
F,AQ,40,,MONT-DE-MARSAN,40000,-49902,4388947,B,LM,36,,GENK,3600,549904,5096360,24000,0,136,MG,N,N,0
D,BW,74,,OBERSULM,74182,938124,4913551,F,RP,77,,LA CHAPELLE-LA-REINE,77760,257214,4831973,2000,0,24,MG,N,N,0
D,BR,16,,NEURUPPIN,16816,1280541,5292495,D,MV,18,,LALENDORF,18279,1238789,5375638,21000,0,136,MG,N,N,0
D,SA,6,,HALLE,6126,1190130,5147490,B,WV,85,,WEVELGEM,8560,320398,5084235,20000,0,136,MG,N,N,0
D,PS,67,,LUDWIGSHAFEN AM RHEIN,67063,843676,4948774,GB,6,CB,,NEWMARKET,CB8 0,39896,5224994,24000,0,136,MG,N,N,0
B,OV,90,,GENT,9000,372860,5105561,F,RA,42,,SAINT-�TIENNE,42000,438799,4543904,24000,0,136,MG,N,N,0
F,NP,59,,ARMENTI�RES,59280,288290,5069099,F,RA,1,,AMB�RIEU-EN-BUGEY,1500,535379,4596092,2500,0,16,MG,N,N,0
F,OC,30,,LES ANGLES,30133,477615,4395789,F,PR,13,,MARSEILLE,13001,537248,4329370,3000,0,46,MG,N,N,0
F,AQ,33,,SADIRAC,33670,-41602,4478269,F,AQ,33,,BORDEAUX,33200,-58107,4483661,16200,0,80,MG,N,N,0
F,PR,84,,SARRIANS,84260,497105,4408289,F,PL,49,,CHEMILL�,49120,-72493,4721425,5000,900,150,MG,N,N,0
F,AL,88,,VITTEL,88800,594870,4820108,F,NP,59,,LILLE,59000,306154,5062817,27000,0,136,MG,N,N,0
D,HE,36,,LAUTERBACH,36341,939810,5063484,D,BW,77,,SEEBACH,77889,820280,4857501,25500,0,136,MG,N,N,0
D,NB,96,,AHORN,96482,1095517,5023719,D,ON,30,,HANNOVER,30159,973711,5237358,1400,0,68,MG,N,N,0
A,1,OO,45,BAD HALL,4540,1421154,4803349,F,RA,69,,MEYZIEU,69330,500466,4577403,250,0,10,MG,N,N,0
D,WF,58,,HAGEN,58089,745836,5135830,D,PS,55,,BAD SOBERNHEIM,55566,765323,4978578,35000,0,20,MG,N,N,0
D,ON,38,,BEETZENDORF,38489,1108930,5270333,B,BR,34,,BEKKEVOORT,3460,496974,5094553,24000,0,136,MG,N,N,0
