OF_DEPARTURE_COUNTRY,OF_DEPLV2,OF_DEPLV1,OF_DEPLV0,OF_DEPARTURE_CITY,OF_DEPARTURE_ZIPCODE,OF_DEPARTURE_COORDINATE_X,OF_DEPARTURE_COORDINATE_Y,OF_ARRIVAL_COUNTRY,OF_ARRLV2,OF_ARRLV1,OF_ARRLV0,OF_ARRIVAL_CITY,OF_ARRIVAL_ZIPCODE,OF_ARRIVAL_COORDINATE_X,OF_ARRIVAL_COORDINATE_Y,OF_WEIGHT,OF_VOLUME,OF_LENGTH,OF_GOODS_KND,OF_TAIL_LIFT,OF_PALLETS_EXCHANGE,OF_NB_PALLETS
I,5,MAR,62,RECANATI,62019,1354847,4340476,F,CE,18,,SAINT-FLORENT-SUR-CHER,18400,224981,4699503,1200,0,80,MG,N,N,0
B,LM,36,,GENK,3600,549904,5096360,F,NP,62,,LENS,62300,283295,5042935,25000,0,134,MG,N,N,0
P,CE,34,,T�BUA,3420,-802868,4036078,E,E5,MA,29,M�LAGA,29015,-442023,3671822,3000,0,136,MG,N,N,0
F,OC,34,,MONTPELLIER,34080,387601,4361087,F,PC,17,,CL�RAC,17270,-22756,4518194,28200,0,134,MG,N,N,0
F,RA,69,,GRIGNY,69520,479176,4560850,F,PR,83,,LA CRAU,83260,607383,4314836,1000,0,16,MG,Y,N,0
D,WF,48,,SALZBERGEN,48499,734180,5232294,D,BW,70,,STUTTGART,70376,920481,4881050,7000,0,136,MG,N,N,0
I,1,LOM,24,CORTENUOVA,24050,978837,4553967,I,4,TOS,52,PIEVE SANTO STEFANO,52036,1204139,4367009,4000,0,32,MG,N,N,0
F,BF,25,,BESAN�ON,25000,600895,4724038,F,CE,18,,BOURGES,18000,240103,4708337,20000,0,80,MG,N,N,0
F,PC,79,,VERNOUX-EN-G�TINE,79240,-51390,4663556,F,PL,49,,CAND�,49440,-103596,4756041,15000,0,80,MG,N,N,0
I,2,VEN,31,PAESE,31038,1216125,4567611,F,AU,19,,BRIVE-LA-GAILLARDE,19100,152583,4515913,4000,0,27,MG,N,N,0
